ligand_id,isoform,complex_file,exact_signature_matches,status
008ba23d70d116976b09ff9ab59e1410ce288b7322a1e88bd59868d2b0a07b44,JAK2,results/saved_complexes/008ba23d_JAK2_06200f_complex.pdb,2,duplicate_exact_matches_first_selected
00939d35bcb6a93ba5499d7c595ccd02ae272f4c5ff0c46892b36c0b086ca662,JAK1,results/saved_complexes/00939d35_JAK1_1695cf_complex.pdb,3,duplicate_exact_matches_first_selected
00939d35bcb6a93ba5499d7c595ccd02ae272f4c5ff0c46892b36c0b086ca662,JAK2,results/saved_complexes/00939d35_JAK2_1a1953_complex.pdb,3,duplicate_exact_matches_first_selected
00942cd53f91ec091a1cfffd8efbb64685c3492e6c265716c421701288c1dc27,JAK1,,0,no_prefix_candidates
00942cd53f91ec091a1cfffd8efbb64685c3492e6c265716c421701288c1dc27,JAK2,,0,no_prefix_candidates
00948b00de84b45cc8adad2c742e7331176b42414527080e7857e214052eaf28,JAK1,results/saved_complexes/00948b00_JAK1_1c7e69_complex.pdb,3,duplicate_exact_matches_first_selected
00948b00de84b45cc8adad2c742e7331176b42414527080e7857e214052eaf28,JAK2,results/saved_complexes/00948b00_JAK2_4ce642_complex.pdb,3,duplicate_exact_matches_first_selected
00a3718ec19dbbc002cae9bef6f85e641b2ccf70125da4fa8d6a9d264dd5153e,JAK1,,0,no_prefix_candidates
00a3718ec19dbbc002cae9bef6f85e641b2ccf70125da4fa8d6a9d264dd5153e,JAK2,,0,no_prefix_candidates
00a45ab40e624b79f1c39b3682f42a2a52f7e91ac5df4a34cf8023aff15b4c7e,JAK1,,0,no_prefix_candidates
00a45ab40e624b79f1c39b3682f42a2a52f7e91ac5df4a34cf8023aff15b4c7e,JAK2,,0,no_prefix_candidates
00a5ffff7369f27d4ed0a6f2e48ee1043118f60fbbb201d55cc0ab1d6c020163,JAK1,,0,no_prefix_candidates
00a5ffff7369f27d4ed0a6f2e48ee1043118f60fbbb201d55cc0ab1d6c020163,JAK2,,0,no_prefix_candidates
00be437a1766cb2090ca6e50df2b6f98b049133a995d257e9a293465b0298cd0,JAK1,results/saved_complexes/00be437a_JAK1_4c3af6_complex.pdb,3,duplicate_exact_matches_first_selected
00be437a1766cb2090ca6e50df2b6f98b049133a995d257e9a293465b0298cd0,JAK2,results/saved_complexes/00be437a_JAK2_7fc7ca_complex.pdb,3,duplicate_exact_matches_first_selected
00be4b4faf63188cda455a2bb231b308fe610bed0306f1e38d4d1f2120f14509,JAK1,,0,no_prefix_candidates
00be4b4faf63188cda455a2bb231b308fe610bed0306f1e38d4d1f2120f14509,JAK2,,0,no_prefix_candidates
00c2d5f0042df9e5137411f3f1707683f5836049f5c7d5d556f152a8b6c7fc0a,JAK1,results/saved_complexes/00c2d5f0_JAK1_217e85_complex.pdb,3,duplicate_exact_matches_first_selected
00c2d5f0042df9e5137411f3f1707683f5836049f5c7d5d556f152a8b6c7fc0a,JAK2,results/saved_complexes/00c2d5f0_JAK2_177b52_complex.pdb,3,duplicate_exact_matches_first_selected
00c96f51bfee275bf4a5dc7c7e0c3e784ff6fb5effe22520a4975e898af4e64a,JAK1,,0,no_prefix_candidates
00c96f51bfee275bf4a5dc7c7e0c3e784ff6fb5effe22520a4975e898af4e64a,JAK2,,0,no_prefix_candidates
00cc452d1786380ee67c7a5441667d3ffbbe4d4336c91130e983c058af2cf3fa,JAK1,,0,no_prefix_candidates
00cc452d1786380ee67c7a5441667d3ffbbe4d4336c91130e983c058af2cf3fa,JAK2,,0,no_prefix_candidates
00ceca5de34a877de8ccc773e44b3ee5df792b319330583434dee03ad35ce11a,JAK1,results/saved_complexes/00ceca5d_JAK1_5bc933_complex.pdb,3,duplicate_exact_matches_first_selected
00ceca5de34a877de8ccc773e44b3ee5df792b319330583434dee03ad35ce11a,JAK2,results/saved_complexes/00ceca5d_JAK2_23e030_complex.pdb,3,duplicate_exact_matches_first_selected
00d4848be592343810b4064652caf12c75edbd49314bb0433adb7bf58cee98b3,JAK1,results/saved_complexes/00d4848b_JAK1_6cbbb5_complex.pdb,2,duplicate_exact_matches_first_selected
00d4848be592343810b4064652caf12c75edbd49314bb0433adb7bf58cee98b3,JAK2,results/saved_complexes/00d4848b_JAK2_0cb7a2_complex.pdb,2,duplicate_exact_matches_first_selected
00dae97a9ad3709b2811858d2ce73a3d85cc819db054b83ee98e42197f79852f,JAK1,results/saved_complexes/00dae97a_JAK1_5156d4_complex.pdb,3,duplicate_exact_matches_first_selected
00dae97a9ad3709b2811858d2ce73a3d85cc819db054b83ee98e42197f79852f,JAK2,results/saved_complexes/00dae97a_JAK2_48d67d_complex.pdb,3,duplicate_exact_matches_first_selected
00ea1ff644642631239dc793a6cf7d98bc1fb0b9572acf49759196c826b93d44,JAK1,,0,no_prefix_candidates
00ea1ff644642631239dc793a6cf7d98bc1fb0b9572acf49759196c826b93d44,JAK2,,0,no_prefix_candidates
00eec964ec305e15a36e2d28732f6ed7794d580e53f1688b56e90a8116737f62,JAK1,results/saved_complexes/00eec964_JAK1_931108_complex.pdb,2,duplicate_exact_matches_first_selected
00eec964ec305e15a36e2d28732f6ed7794d580e53f1688b56e90a8116737f62,JAK2,results/saved_complexes/00eec964_JAK2_090221_complex.pdb,2,duplicate_exact_matches_first_selected
00eedda7c77a138bbfed0c31acc15c90936f4a308c09c029328265c737d50ffc,JAK1,results/saved_complexes/00eedda7_JAK1_58eac2_complex.pdb,2,duplicate_exact_matches_first_selected
00eedda7c77a138bbfed0c31acc15c90936f4a308c09c029328265c737d50ffc,JAK2,results/saved_complexes/00eedda7_JAK2_32bf9d_complex.pdb,2,duplicate_exact_matches_first_selected
00f14cd9e4886db5bb5ce6830a4bef9259f8bd0bf5ef288fa259b6f828bcf22f,JAK1,,0,no_prefix_candidates
00f14cd9e4886db5bb5ce6830a4bef9259f8bd0bf5ef288fa259b6f828bcf22f,JAK2,,0,no_prefix_candidates
0101237c19fe73191fed9376f2c8a6fe6b3086054c1adff42cf1b3b6ab940c89,JAK1,results/saved_complexes/0101237c_JAK1_63dc02_complex.pdb,3,duplicate_exact_matches_first_selected
0101237c19fe73191fed9376f2c8a6fe6b3086054c1adff42cf1b3b6ab940c89,JAK2,results/saved_complexes/0101237c_JAK2_3aea65_complex.pdb,3,duplicate_exact_matches_first_selected
0108d345a787d94a420cff09f9a7efcf9abc99acd8ee39c2b8598d8a26028dd8,JAK1,results/saved_complexes/0108d345_JAK1_76af3d_complex.pdb,3,duplicate_exact_matches_first_selected
0108d345a787d94a420cff09f9a7efcf9abc99acd8ee39c2b8598d8a26028dd8,JAK2,results/saved_complexes/0108d345_JAK2_4dd5e5_complex.pdb,3,duplicate_exact_matches_first_selected
010f611e76884c2ea36dc33e98a875e4542386ed09debfec0517b2fec137c6ea,JAK1,results/saved_complexes/010f611e_JAK1_4d4497_complex.pdb,2,duplicate_exact_matches_first_selected
010f611e76884c2ea36dc33e98a875e4542386ed09debfec0517b2fec137c6ea,JAK2,results/saved_complexes/010f611e_JAK2_38dc1a_complex.pdb,2,duplicate_exact_matches_first_selected
0112b0cb4b3eae9f6a503526a72bf2a299777dc8c6d8bf22994657b6690776a7,JAK1,results/saved_complexes/0112b0cb_JAK1_2e4990_complex.pdb,2,duplicate_exact_matches_first_selected
0112b0cb4b3eae9f6a503526a72bf2a299777dc8c6d8bf22994657b6690776a7,JAK2,results/saved_complexes/0112b0cb_JAK2_6fbbea_complex.pdb,2,duplicate_exact_matches_first_selected
0117102f5d61bcd4e9b67b6a952f3918f1ae5d12fe85de286328002106c8a21e,JAK1,,0,no_prefix_candidates
0117102f5d61bcd4e9b67b6a952f3918f1ae5d12fe85de286328002106c8a21e,JAK2,,0,no_prefix_candidates
0124f33e5781d5f1429674d5dc203f72a6a46856b0e8cb71b7cb9c09dfab9ac9,JAK1,,0,no_prefix_candidates
0124f33e5781d5f1429674d5dc203f72a6a46856b0e8cb71b7cb9c09dfab9ac9,JAK2,,0,no_prefix_candidates
013365fcfa14c6c37d57db69e979dd86df0a9d080e7a185a89b467d2ca9b6995,JAK1,results/saved_complexes/013365fc_JAK1_83b59f_complex.pdb,2,duplicate_exact_matches_first_selected
013365fcfa14c6c37d57db69e979dd86df0a9d080e7a185a89b467d2ca9b6995,JAK2,results/saved_complexes/013365fc_JAK2_3bc01e_complex.pdb,2,duplicate_exact_matches_first_selected
013391a45314e7db3e8a36b20b5f069061579a23941274ea2356b94b7da1cd2c,JAK1,results/saved_complexes/013391a4_JAK1_41d5cd_complex.pdb,2,duplicate_exact_matches_first_selected
013391a45314e7db3e8a36b20b5f069061579a23941274ea2356b94b7da1cd2c,JAK2,results/saved_complexes/013391a4_JAK2_46a03b_complex.pdb,2,duplicate_exact_matches_first_selected
013c012109b76e69ce91e77a0f06576c17d02b9b6c5ed5b4d59049c32802b450,JAK1,results/saved_complexes/013c0121_JAK1_08c0df_complex.pdb,2,duplicate_exact_matches_first_selected
013c012109b76e69ce91e77a0f06576c17d02b9b6c5ed5b4d59049c32802b450,JAK2,results/saved_complexes/013c0121_JAK2_10445e_complex.pdb,2,duplicate_exact_matches_first_selected
013cc53629ad4d3290ff1a576b8c6e5159eebc24c566ba17bd3720b0889a6c76,JAK1,,0,no_prefix_candidates
013cc53629ad4d3290ff1a576b8c6e5159eebc24c566ba17bd3720b0889a6c76,JAK2,,0,no_prefix_candidates
014192de0defcbd2d55b89a44fb8382303316b04becda71122b67c009e561b35,JAK1,results/saved_complexes/014192de_JAK1_573fa0_complex.pdb,2,duplicate_exact_matches_first_selected
014192de0defcbd2d55b89a44fb8382303316b04becda71122b67c009e561b35,JAK2,results/saved_complexes/014192de_JAK2_12733e_complex.pdb,2,duplicate_exact_matches_first_selected
015253164d2505500344d2d5d851c9145ff8081bd88eb36c882efaab50089a3c,JAK1,results/saved_complexes/01525316_JAK1_77a38a_complex.pdb,3,duplicate_exact_matches_first_selected
015253164d2505500344d2d5d851c9145ff8081bd88eb36c882efaab50089a3c,JAK2,results/saved_complexes/01525316_JAK2_2650cf_complex.pdb,3,duplicate_exact_matches_first_selected
015b77d89f28c2a812d2a981ec3b159c28d1a1b7df5d96fe0ff7228b823e433f,JAK1,results/saved_complexes/015b77d8_JAK1_3f723d_complex.pdb,3,duplicate_exact_matches_first_selected
