Unnamed: 0,identifier,smiles,predicted_delta_pIC50,QSAR_rank
114491,CNP0391329.4,CN(C)C(=O)[C@H]1CN2CC[C@H]1C[C@@H]2CN1C=C(C2=CC=CC(N)=C2)N=N1,0.30704585797059214,2489
116557,CNP0417779.0,CC1=CC=C(C2=CN3C=CC(C)=CC3=C2)C=C1,0.3069535004606088,2490
289903,CNP0038378.0,CC1=NC2=C(C(C3=CC=CC=C3)=CS2)C(=O)N1NC(=O)C1=CC=C(Cl)C=C1Cl,0.30685086516360266,2491
93046,CNP0159872.1,COC1=CC=C(C2=NN(CN3CCC4=CC(OC)=C(OC)C=C4[C@H]3C)C(=O)C=C2)C=C1,0.3067923762326128,2492
277635,CNP0578993.1,COC1=CC=CC(C2=CC=C3OC[C@H]4CN(C(=O)C5CCOCC5)CCN4CC(=O)NC3=C2)=C1,0.306735832860684,2493
215225,CNP0368302.0,O=C1C(O)=CC2=CN(CCO)C(=O)C3=C2C1=C(C1=CC=CC=C1)C=C3,0.3066107093618948,2494
20834,CNP0158923.0,COC1=CC(OC)=CC(C(=O)NC2=CC=C3C(C)=C(C(=O)C4=CC=C(OC)C(OC)=C4)OC3=C2)=C1,0.3065898031700899,2495
471545,CNP0200867.0,O=C1C2=CC=CC=C2C2=NC(C3=CC=CC=C3)=CC=C12,0.3065176182434811,2496
263562,CNP0400135.0,O=C(CC1CC(=O)OC2=CC=CC=C21)NC1=CC=C2NC=CC2=C1,0.3064754045781771,2497
336328,CNP0171669.0,COC1=CC=C(C2=CC3=CC=CC=C3C=N2)C=C1,0.30646105235738863,2498
456629,CNP0161617.1,CN1CCC(N2CCOC[C@H]2C2=NC(C3=CC=C(S(C)(=O)=O)C=C3)=CN2)CC1,0.3064302768419151,2499
365457,CNP0464085.0,COC1=C(C2=CC=CC(O)=C2)C2=CC=CC=C2NC1=O,0.30634439527521423,2500
380706,CNP0482521.1,COC1=CC=CC=C1C(=O)N1CCN2CC(=O)NC3=CC(C4=CC=CC=C4)=CC=C3OC[C@@H]2C1,0.3062578214541752,2501
470247,CNP0187140.0,CC1=C(C)C2=CC3=C(C=C2O1)OC(=O)C(CCC(=O)NC1=CC=C2OCCOC2=C1)=C3C,0.30610537217881983,2502
396850,CNP0415219.0,COC1=CC=C(C2=C(C3=C(O)C(=O)C=C(C)O3)NC(C3=CN(C(C)(C)C)C=C3)=N2)C=C1,0.3061046793430411,2503
58554,CNP0551212.0,O=[N+]([O-])C1=CC(C2=CN3C=CC=CC3=C2)=CC=C1I,0.3059955426801954,2504
503566,CNP0595697.1,O=C(NC1=CC=C2OCCOC2=C1)[C@H]1CN(S(=O)(=O)C2CC2)CC12CCCCC2,0.3058019912060556,2505
139861,CNP0241779.1,COC(=O)[C@H](CCSC)NC(=O)NC1=CC=C2OCOC2=C1,0.3057068726928091,2506
477751,CNP0013027.1,CC1=CC=CC(C2=NOC([C@@H]3C[C@@H](O)CN3C)=N2)=C1,0.3055585885948267,2507
401530,CNP0063548.1,CSC1=CC=C(C2=CC=C3[C@@H]4C[C@@H](CN(S(=O)(=O)C5=CC=C(NC(C)=O)C=C5)C4)CN3C2=O)C=C1,0.3055067499053703,2508
324628,CNP0247324.1,CC(=O)NC1=CC=C(C2=CC=C3[C@@H]4C[C@@H](CN(S(=O)(=O)C5=CC=CC=C5)C4)CN3C2=O)C=C1,0.30544150852754604,2509
265439,CNP0033212.1,CN1CC[C@H](C2=NN=C(C3=CC=CN=C3)O2)C1,0.3051592890776551,2510
434926,CNP0301979.1,CCCNC(=O)OC[C@H]1C[C@@H]2CC[N@@]1C[C@@H]2C1=CC(C2=CC=C(OC)C=C2)=NN1C,0.30515566649897785,2511
145614,CNP0330063.0,COC1=CC=C(C(=O)NC2=CC=C3C(C)=C(C(=O)C4=CC=C(C)C=C4)OC3=C2)C=C1,0.30514901573740494,2512
299222,CNP0106555.0,COC1=CC=C(C(=O)C2=C(C)C3=CC=C(NC(=O)C4=CC=C(C)C=C4)C=C3O2)C=C1,0.30514901573740494,2513
219473,CNP0546743.1,O=C1CN2CCNC[C@H]2COC2=CC=C(C3=CC=CC=C3)C=C2N1,0.3050830897935055,2514
285068,CNP0106150.1,CC(=O)N1CCC(N2CCC[C@H]2C2=NC(C3=CC=C(C4=CN=CN=C4)N=C3)=NO2)CC1,0.30507689703773727,2515
281621,CNP0516730.1,CN1N=CN=C1C1=CC=C2OC[C@H]3CN(C(=O)C4CCCC4)CCN3CC(=O)NC2=C1,0.3050586685997682,2516
279724,CNP0327887.1,COC1=CC=C(C2=CC3=C(C[C@]4(O)[C@@]5(C)[C@@H](O)C[C@@H](OC(C)=O)C(C)(C)[C@]5(O)CC[C@@]4(C)O3)C(=O)O2)C=C1,0.30499315315717745,2517
125358,CNP0013971.1,CC(C)N1CCC[C@H]1C1=NC(C2=CC=C(C3=CN=CN=C3)N=C2)=NO1,0.30493560406206366,2518
148030,CNP0600854.0,CC1=NC(C2=CC=CC(C3=NOC(C(=O)N4CCC5(CC4)OCCO5)=N3)=C2)=CS1,0.30483166650142407,2519
198926,CNP0596349.0,COC1=CC(C2=C(C3=C(O)C(=O)C=C(C)O3)NC(C3=CC4=CC=CC5=C4N(CCC5)C3=O)=N2)=CC=C1O,0.3048207943384516,2520
326690,CNP0291088.2,CC1=CC=C(NC(=O)[C@@H]2CCC(=O)N2[C@@H]2OC(=O)C3=CC=CC=C32)C=C1C,0.30471724418443136,2521
403061,CNP0599765.3,CCOCCCN1C(=O)[C@@H]2[C@H](C(=O)NC3=CC=C(C)C(C)=C3)[C@@H]3C=C[C@@]2(O3)[C@@H]1C(=O)N[C@@H]1CCC[C@@H](C)[C@H]1C,0.30467543127950203,2522
62136,CNP0514603.0,CC1=CC=C2OC(C3=CC=C(NC(=O)CCN4C(=S)OC5=CC=CC=C54)C=C3O)=NC2=C1,0.3045698135588224,2523
454006,CNP0541994.0,CC1=C(C(=O)NC2=CC=C3OCCOC3=C2)OC2=CC=C3OC4(CCCCCC4)CC(=O)C3=C12,0.3045674430856834,2524
392271,CNP0075795.1,CC1=C(C2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C(O)=C2C(=O)C=C(C3=CC=C(O)C=C3)OC2=C1C,0.3045035411384507,2525
253391,CNP0040457.0,CC(=O)NC1=CC=C(C2=CC=C(NC(C)=O)C=C2NC(C)=O)C(NC(C)=O)=C1,0.3044708431246255,2526
260980,CNP0136403.1,COC1=CC=C(C2=CC3=C(C[C@]4(O)[C@@]5(C)C=CC(=O)C(C)(C)[C@]5(O)CC[C@@]4(C)O3)C(=O)O2)C=C1,0.304459603443841,2527
274398,CNP0603427.1,O=C1CN2CCN(C(=O)C3=CC=NC=C3)C[C@H]2COC2=CC=C(C3=CC=CC=C3)C=C2N1,0.30436445682103913,2528
336697,CNP0016063.1,COC1=CC=CC=C1CN1CCC[C@H]1C1=NC(C2=CC=NC(N3CCC(C(N)=O)CC3)=C2)=NO1,0.30436073178723094,2529
224984,CNP0577345.1,CCOC1=CC(C2=CC=C3OCOC3=C2)=C/C(=N\C2=CC=CC(OC)=C2)C2=C(C)OC(C)=C12,0.30427235553550747,2530
429490,CNP0010136.0,O=C(CN1C(=O)C=C(C(=O)NCC2=CC=CC=C2)C2=CC=CC=C21)NC1=CC=C2OCCOC2=C1,0.30419995393280813,2531
128857,CNP0597244.4,CC1=CC=C(NC(=O)[C@H]2[C@H]3C=C[C@]4(O3)[C@H](C(=O)NC3CCCCC3)N(CCCN(C)CC3=CC=CC=C3)C(=O)[C@@H]24)C=C1C,0.3041337130910642,2532
58114,CNP0597244.3,CC1=CC=C(NC(=O)[C@@H]2[C@H]3C=C[C@]4(O3)[C@H](C(=O)NC3CCCCC3)N(CCCN(C)CC3=CC=CC=C3)C(=O)[C@@H]24)C=C1C,0.3041337130910642,2533
313987,CNP0392957.0,CC1(C)CC(=O)C2=C(O)C=C(OCC(=O)NC3=CC=C4OC(=O)C=CC4=C3)C=C2O1,0.30412333900491023,2534
100905,CNP0574826.1,CC(C)(C)CC(=O)N1CCN2CC(=O)NC3=CC(C4=CC=CC=C4)=CC=C3OC[C@@H]2C1,0.30405354959154335,2535
474388,CNP0188055.1,CSCC[C@H](NC(=O)NC1=CC=C2OC(=O)C=CC2=C1)C(=O)O,0.30403247512390935,2536
231889,CNP0013439.1,C=CCN(C)C(=O)[C@H]1C[N@]2CC[C@H]1C[C@@H]2CN1C=C(C2=CC=CC(O)=C2)N=N1,0.3040125607196933,2537
452073,CNP0013439.2,C=CCN(C)C(=O)[C@H]1C[N@@]2CC[C@@H]1C[C@@H]2CN1C=C(C2=CC=CC(O)=C2)N=N1,0.3040125607196933,2538
203752,CNP0504335.1,CC1=CC=C(CCN2C(=O)[C@@H]3[C@H](C(=O)NC4=CC=C(C)C(C)=C4)[C@@H]4C=C[C@@]3(O4)[C@@H]2C(=O)N[C@@H]2CCC[C@@H](C)[C@H]2C)C=C1,0.3039120858256464,2539
282517,CNP0377721.0,CCOC1=CC=C(C2=CC(=O)C3=C(C)OC(C)=C3C(OC(=O)C3=CC=CC(Cl)=C3)=C2)C=C1,0.30379403974818614,2540
411823,CNP0145196.0,O=C1OC2=CC=CC=C2C(O)=C1C1=C(C2=CC=C3OCOC3=C2)OC2=C1C(=O)OC1=CC=CC=C12,0.3037579509004129,2541
117883,CNP0045417.0,COC1=CC=C(C(=O)C2=C(C)C3=CC=C(NC(=O)C4=CC=C(OC)C(OC)=C4)C=C3O2)C=C1,0.3037514605543741,2542
33502,CNP0011399.1,CCCNC(=O)OC[C@H]1C[C@@H]2CC[N@@]1C[C@@H]2C1=CC(C2=CC=C(OC)C(OC)=C2)=NN1C,0.30374224279895895,2543
359532,CNP0263613.1,CC1=CC=CC(C2=NOC([C@@H]3C[C@@H](O)CN3CCCC3=CC=CC=C3)=N2)=C1,0.3037347787767332,2544
437036,CNP0153175.0,O=C1CC(C2=C3N=CC=CN3N=C2)C2=C(C=C(O)C3=C2OC=C(C2=CC=C(O)C=C2)C3=O)O1,0.30358260402483755,2545
325953,CNP0487335.2,CC1=CC=C(NC(=O)[C@H]2[C@H]3C=C[C@@]4(O3)[C@H]2C(=O)N(CC2=CC=CN=C2)[C@@H]4C(=O)N[C@@H]2CCC[C@H](C)[C@@H]2C)C=C1Cl,0.3035758285040291,2546
93004,CNP0487335.1,CC1=CC=C(NC(=O)[C@H]2[C@H]3C=C[C@@]4(O3)[C@H]2C(=O)N(CC2=CC=CN=C2)[C@@H]4C(=O)N[C@@H]2CCC[C@@H](C)[C@H]2C)C=C1Cl,0.3035758285040291,2547
440017,CNP0487335.4,CC1=CC=C(NC(=O)[C@H]2[C@H]3C=C[C@@]4(O3)[C@H]2C(=O)N(CC2=CC=CN=C2)[C@@H]4C(=O)N[C@@H]2CCC[C@@H](C)[C@@H]2C)C=C1Cl,0.3035758285040291,2548
432680,CNP0409847.0,CC1=C(C2=CC=CC=C2)C(=O)C2=CC=C(OCCN3CCN(CCO)CC3)C=C2O1,0.3035091888221067,2549
444606,CNP0234235.1,ClC1=CC=C(CN2CCOC[C@H]2C2=NC(C3=CC=CC=C3)=CN2)C=C1,0.3034807423537997,2550
5409,CNP0057417.0,CC1=C(C(=O)C2=CC=C(Cl)C=C2)OC2=CC=C(NC(=O)C3=CC=CC=C3Cl)C=C12,0.3033974783416038,2551
457202,CNP0305713.1,COC1=CC=C(C2=CC3=C(C[C@]4(O)[C@@]5(C)CCC(=O)OC(C)(C)[C@]5(O)CC[C@@]4(C)O3)C(=O)O2)C=C1,0.30335673149047465,2552
216857,CNP0305713.2,COC1=CC=C(C2=CC3=C(C[C@@]4(O)[C@]5(C)CCC(=O)OC(C)(C)[C@@]5(O)CC[C@]4(C)O3)C(=O)O2)C=C1,0.30335673149047465,2553
275856,CNP0507179.0,O=C1C=CC2(C=C1)OCC(C1=CC=CC(C3=CC=C4C=CC=CC4=C3)=C1)O2,0.3032879256622647,2554
429716,CNP0060951.4,CCOC(=O)[C@@H](C)OC1=CC=C2C(=O)/C(=C/C3=CC=C(C4=CC=CC=C4)C=C3)OC2=C1,0.30325758064940295,2555
403588,CNP0453980.0,COC1=CC=C(C2=CC3=CC=C(OCCN4CCC(C(N)=O)CC4)C=C3OC2=O)C=C1,0.3032573012131413,2556
