smiles,dataset,PC1,PC2
COc1cc(Nc2ncc3ccn(-c4cccc(NS(=O)(=O)C(C)(C)C)c4)c3n2)ccc1N1CCN(C)CC1,JAK2-selective,-2.785230142923158,1.0227849368576172
COc1cc(Nc2ncc3ccn(-c4cccc(NS(=O)(=O)C(C)(C)C)c4)c3n2)ccc1N1CCNCC1,JAK2-selective,-2.8025092662612536,0.8081844308340043
COc1cc2c(=O)n(CC3CCCCC3)c3c4cc[nH]c4ncc3c2cc1OC,JAK2-selective,-3.2594910188859347,-2.8625557878670134
COc1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(C(=O)CO)C2)c1F,JAK2-selective,-3.4495543012765615,0.10372633509441616
COc1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(c3cnc(CO)cn3)C2)c1F,JAK2-selective,-4.197911064846872,-0.03388078236572628
COc1nc(-c2cnn3ccccc23)nc(O[C@@H]2CCCN(C(=O)CO)C2)c1F,JAK2-selective,-4.009628412330922,0.9255822506592805
CS(=O)(=O)N1CC(CC#N)(n2ccc(-c3nc(-c4ccc(F)cc4O)cc4ncccc34)n2)C1,JAK2-selective,-5.062474280316735,0.9605125207990731
CS(=O)(=O)N1CC(CC#N)(n2ccc(-c3nc(-c4cccc(O)n4)cc4ncccc34)n2)C1,JAK2-selective,-5.441514237224584,-0.6044350118162611
CS(=O)(=O)N1CC(CC#N)(n2ccc(-c3nc(-c4ccn5ccnc5c4)cc4ncccc34)n2)C1,JAK2-selective,-4.631282207992677,-2.122796364225307
CS(=O)(=O)N1CC(CC#N)(n2ccc(-c3nc(-c4cnc5[nH]c(=O)[nH]c5c4)cc4ncccc34)n2)C1,JAK2-selective,-4.869145788996207,-1.2304237169338215
CS(=O)(=O)N1CC(CC#N)(n2ccc(-c3nc(-c4cnc5cn[nH]c5c4)cc4ncccc34)n2)C1,JAK2-selective,-5.6215222886577,0.09658982602245096
CS(=O)(=O)N1CC(CC#N)(n2ccc(-c3nc(-c4cnn(C5COC5)c4)cc4ncccc34)n2)C1,JAK2-selective,-4.198470948917875,-1.9422030839185427
CS(=O)(=O)N1CC(CC#N)(n2ccc(-c3nc(-c4cnn([C@@H]5CCOC5)c4)cc4ncccc34)n2)C1,JAK2-selective,-3.4847645936910117,-1.9575207539287582
CS(=O)(=O)N1CC(CC#N)(n2ccc(-c3nc(-c4cnn([C@H]5CCOC5)c4)cc4ncccc34)n2)C1,JAK2-selective,-3.4847645936910117,-1.9575207539287582
CS(=O)(=O)c1ccc(-c2cc(-c3cnn(C4(CC#N)CC(C#N)C4)n3)c3cccnc3c2)nc1,JAK2-selective,-3.264163249396164,-1.2444725384323918
C[C@H](Nc1nc(-c2cnn3ccccc23)nc(N2CCC(N)CC2)c1F)c1ccc(F)cn1,JAK2-selective,-2.344860356949569,0.35709278954212786
C[C@H](O)COc1nc(-c2cnn3ccccc23)nc(O[C@@H]2CCCN(C(=O)CO)C2)c1F,JAK2-selective,-4.092235072086756,0.7194532405867293
Cc1cc(-c2cc(-c3cnn(C4(CC#N)CN(S(C)(=O)=O)C4)n3)c3cccnc3c2)ccn1,JAK2-selective,-4.003140056005378,-1.692028917468214
Cc1cc(-c2cc3ncccc3c(-c3ccn(C4(CC#N)CC(C#N)C4)n3)n2)nn1C,JAK2-selective,-3.712334900504017,-1.530474394867918
Cc1cc(-c2nc(-c3cc(N)n(C)n3)cc3ncccc23)nn1C1(CC#N)CC(C#N)C1,JAK2-selective,-2.920937503213749,-1.0082314471102205
Cc1cc(-c2nc(-c3cnn4ccccc34)nc(N[C@@H]3CCCN(C(=O)CC#N)C3)c2F)cc(C)n1,JAK2-selective,-2.780995797136987,-0.7311470173886857
Cc1cc(-c2nc(-c3cnn4ccccc34)nc(N[C@@H]3CCCN(C(=O)CO)C3)c2F)ccn1,JAK2-selective,-3.465298131915216,-0.3647768576952113
Cc1cc(-c2nc(-c3cnn4ccccc34)nc(O[C@@H]3CCCN(C(=O)CO)C3)c2F)ccn1,JAK2-selective,-4.199675533475909,0.08630442122823165
Cc1cnc(Nc2ccc(C(=O)NC3CCN(C)CC3)c(F)c2)nc1Nc1ccc2c(c1)N(S(=O)(=O)C(C)(C)C)CC2,JAK2-selective,-0.9440124207927247,1.602978835822247
Cc1cncc2ccc(NC(=O)[C@@H]3CC3c3ccc(S(=O)(=O)Nc4ccccn4)cc3)cc12,JAK2-selective,-3.091894170537751,1.3817274251780198
Cc1cncc2ccc(NC(=O)[C@@H]3CC3c3ccc(S(=O)(=O)Nc4cccnc4)cc3)cc12,JAK2-selective,-2.818781658447063,1.3765074810202074
