,smiles,JAK1_IC50_nM,JAK2_IC50_nM,JAK1_pIC50,JAK2_pIC50,delta_pIC50,scaffold
4947,N#C[C@@H]1C[C@@H](O)CC[C@H]1n1nc(Nc2ccc(C(F)(F)F)cc2)c2c(=O)[nH]ccc21,9800.0,117000.0,5.008773924307505,3.9318141382538383,-1.0769597860536666,O=c1[nH]ccc2c1c(Nc1ccccc1)nn2C1CCCCC1
4948,N#C[C@@H]1C[C@@H](OCC2CC2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,21.0,102.0,7.6777807052660805,6.991399828238082,-0.6863808770279984,c1ccc(Nc2ccn([C@H]3CC[C@@H](OCC4CC4)CC3)n2)cc1
4949,N#C[C@@H]1C[C@H](C(=O)N2CC(F)(F)C2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,3.0,28.0,8.522878745280337,7.552841968657781,-0.9700367766225568,O=C([C@H]1CC[C@H](n2ccc(Nc3ccccc3)n2)CC1)N1CCC1
4950,N#C[C@@H]1C[C@H](C(=O)N2CC(F)C2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,9.0,200.0,8.045757490560675,6.698970004336019,-1.346787486224656,O=C([C@H]1CC[C@H](n2ccc(Nc3ccccc3)n2)CC1)N1CCC1
4951,N#C[C@@H]1C[C@H](C(=O)N2CC3(CCC3)C2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,16.0,133.0,7.795880017344075,6.876148359032914,-0.9197316583111608,O=C([C@H]1CC[C@H](n2ccc(Nc3ccccc3)n2)CC1)N1CC2(CCC2)C1
4952,N#C[C@@H]1C[C@H](C(=O)N2CC3(COC3)C2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,10.0,111.0,8.0,6.954677021213342,-1.0453229787866576,O=C([C@H]1CC[C@H](n2ccc(Nc3ccccc3)n2)CC1)N1CC2(COC2)C1
4953,N#C[C@@H]1C[C@H](C(=O)N2CCC(F)(F)C2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,5.0,60.0,8.301029995663981,7.221848749616356,-1.079181246047625,O=C([C@H]1CC[C@H](n2ccc(Nc3ccccc3)n2)CC1)N1CCCC1
4954,N#C[C@@H]1C[C@H](C(=O)NC(C2CC2)C2CC2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,13.0,169.0,7.886056647693163,6.772113295386326,-1.113943352306837,O=C(NC(C1CC1)C1CC1)[C@H]1CC[C@H](n2ccc(Nc3ccccc3)n2)CC1
4955,N#C[C@@H]1C[C@H](C(=O)NC2CC(F)(F)C2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,13.0,136.0,7.886056647693163,6.866461091629782,-1.019595556063381,O=C(NC1CCC1)[C@H]1CC[C@H](n2ccc(Nc3ccccc3)n2)CC1
4956,N#C[C@@H]1C[C@H](C(=O)NC2CC2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,5.0,23.0,8.301029995663981,7.638272163982407,-0.6627578316815743,O=C(NC1CC1)[C@H]1CC[C@H](n2ccc(Nc3ccccc3)n2)CC1
4957,N#C[C@@H]1C[C@H](C(=O)NC2CCC2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,10.0,78.0,8.0,7.107905397309519,-0.8920946026904808,O=C(NC1CCC1)[C@H]1CC[C@H](n2ccc(Nc3ccccc3)n2)CC1
4958,N#C[C@@H]1C[C@H](C(=O)NC2COC2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,5.0,38.0,8.301029995663981,7.42021640338319,-0.8808135922807914,O=C(NC1COC1)[C@H]1CC[C@H](n2ccc(Nc3ccccc3)n2)CC1
4959,N#C[C@@H]1C[C@H](C(=O)NCC(F)(F)F)CCC1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,3.0,38.0,8.522878745280337,7.42021640338319,-1.1026623418971475,c1ccc(Nc2ccn(C3CCCCC3)n2)cc1
4960,N#C[C@@H]1C[C@H](C(=O)N[C@@H](C2CC2)C(F)(F)F)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,9.0,58.0,8.045757490560675,7.236572006437063,-0.8091854841236117,O=C(NCC1CC1)[C@H]1CC[C@H](n2ccc(Nc3ccccc3)n2)CC1
4961,N#C[C@@H]1C[C@H](C(=O)N[C@H](C2CC2)C(F)(F)F)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,21.0,306.0,7.6777807052660805,6.51427857351842,-1.1635021317476602,O=C(NCC1CC1)[C@H]1CC[C@H](n2ccc(Nc3ccccc3)n2)CC1
4962,N#C[C@@H]1C[C@H](N2CCC2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(C(F)(F)F)cc2)n1,2.0,240.0,8.698970004336019,6.619788758288394,-2.079181246047625,c1ccc(Nc2ccn([C@H]3CC[C@H](N4CCC4)CC3)n2)cc1
4963,N#C[C@@H]1C[C@H](N2CCC2)CC[C@H]1n1nc(Nc2ccc(C(F)(F)F)cc2)c2c(=O)[nH]ccc21,37000.0,940000.0,4.431798275933005,3.0268721464003012,-1.4049261295327038,O=c1[nH]ccc2c1c(Nc1ccccc1)nn2[C@H]1CC[C@H](N2CCC2)CC1
4964,N#C[C@@H]1C[C@H](OCC2CC2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc([C@@H](O)C(F)(F)F)cc2)n1,1.0,19.0,9.0,7.721246399047171,-1.2787536009528289,c1ccc(Nc2ccn([C@H]3CC[C@H](OCC4CC4)CC3)n2)cc1
4965,N#C[C@@H]1C[C@H](OCC2CC2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc([C@H](O)C(F)(F)F)cc2)n1,1.0,32.0,9.0,7.494850021680094,-1.5051499783199063,c1ccc(Nc2ccn([C@H]3CC[C@H](OCC4CC4)CC3)n2)cc1
4966,N#C[C@H]1C(n2cc(C(N)=O)c(Nc3ccccc3)n2)CCC[C@@H]1O,13.0,100.0,7.886056647693163,7.0,-0.8860566476931631,c1ccc(Nc2ccn(C3CCCCC3)n2)cc1
4967,N#C[C@H]1C(n2cc(C(N)=O)c(Nc3ccccc3)n2)CCC[C@H]1O,174.0,635.0,6.7594507517174005,6.197226274708024,-0.5622244770093765,c1ccc(Nc2ccn(C3CCCCC3)n2)cc1
4968,N#C[C@H]1CC(F)CCC1n1cc(C(N)=O)c(Nc2ccccc2)n1,4.0,28.0,8.397940008672037,7.552841968657781,-0.8450980400142569,c1ccc(Nc2ccn(C3CCCCC3)n2)cc1
4969,N#C[C@H]1CC(N(C2CC2)C2CC2)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,1.0,16.0,9.0,7.795880017344075,-1.204119982655925,c1ccc(Nc2ccn(C3CCC(N(C4CC4)C4CC4)CC3)n2)cc1
4970,N#C[C@H]1CC(N2CCC[C@@H]2CF)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,1.0,14.0,9.0,7.853871964321762,-1.1461280356782382,c1ccc(Nc2ccn(C3CCC(N4CCCC4)CC3)n2)cc1
4971,N#C[C@H]1CC(N2CCC[C@H]2CF)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,1.0,28.0,9.0,7.552841968657781,-1.4471580313422194,c1ccc(Nc2ccn(C3CCC(N4CCCC4)CC3)n2)cc1
4972,N#C[C@H]1CC(N2CC[C@@H](F)C2)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,2.0,18.0,8.698970004336019,7.7447274948966935,-0.9542425094393252,c1ccc(Nc2ccn(C3CCC(N4CCCC4)CC3)n2)cc1
4973,N#C[C@H]1CC(N2CC[C@H](F)C2)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,1.0,17.0,9.0,7.769551078621726,-1.230448921378274,c1ccc(Nc2ccn(C3CCC(N4CCCC4)CC3)n2)cc1
4974,N#C[C@H]1CC(NC(C2CC2)C2CC2)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,4.0,225.0,8.397940008672037,6.647817481888637,-1.7501225267834002,c1ccc(Nc2ccn(C3CCC(NC(C4CC4)C4CC4)CC3)n2)cc1
4975,N#C[C@H]1CC(NC2CC2)CCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,0.7,7.0,9.154901959985743,8.154901959985743,-1.0,c1ccc(Nc2ccn(C3CCC(NC4CC4)CC3)n2)cc1
4976,N#C[C@H]1CC(NC2CCS(=O)(=O)C2)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,0.4,7.0,9.397940008672037,8.154901959985743,-1.2430380486862944,O=S1(=O)CCC(NC2CCC(n3ccc(Nc4ccccc4)n3)CC2)C1
4977,N#C[C@H]1CC(NC2COC2)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,0.22,3.0,9.657577319177793,8.522878745280337,-1.134698573897456,c1ccc(Nc2ccn(C3CCC(NC4COC4)CC3)n2)cc1
4978,N#C[C@H]1CC(NCC(=O)O)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,0.2,1.0,9.698970004336019,9.0,-0.6989700043360187,c1ccc(Nc2ccn(C3CCCCC3)n2)cc1
4979,N#C[C@H]1CC(NCC(F)F)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)F)cc2)n1,0.9,6.0,9.045757490560675,8.221848749616356,-0.8239087409443187,c1ccc(Nc2ccn(C3CCCCC3)n2)cc1
4980,N#C[C@H]1CC(NCC2CCS(=O)(=O)C2)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,0.4,10.0,9.397940008672037,8.0,-1.3979400086720375,O=S1(=O)CCC(CNC2CCC(n3ccc(Nc4ccccc4)n3)CC2)C1
4981,N#C[C@H]1CC(NCCO)CCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,0.35,11.0,9.455931955649724,7.958607314841775,-1.4973246408079497,c1ccc(Nc2ccn(C3CCCCC3)n2)cc1
4982,N#C[C@H]1CC([N+]2(CC3CC3)CCC2)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,0.85,28.0,9.070581074285707,7.552841968657781,-1.5177391056279266,c1ccc(Nc2ccn(C3CCC([N+]4(CC5CC5)CCC4)CC3)n2)cc1
4983,N#C[C@H]1CCC2(CC1n1cc(C(N)=O)c(Nc3ccccc3)n1)OCCO2,44.0,235.0,7.356547323513812,6.628932137728263,-0.7276151857855488,c1ccc(Nc2ccn(C3CCCC4(C3)OCCO4)n2)cc1
4984,N#C[C@H]1CCC2(C[C@@H]1n1cc(C(N)=O)c(Nc3ccccc3)n1)OCCO2,3.32415,15.3623,8.478319387203669,7.8135437580981195,-0.6647756291055495,c1ccc(Nc2ccn([C@@H]3CCCC4(C3)OCCO4)n2)cc1
4985,N#C[C@H]1CCC2(C[C@H]1n1cc(C(N)=O)c(Nc3ccccc3)n1)OCCO2,147.0,308.0,6.8326826652518236,6.511449283499556,-0.32123338175226746,c1ccc(Nc2ccn([C@H]3CCCC4(C3)OCCO4)n2)cc1
4986,N#C[C@H]1CCCC(F)[C@@H]1n1cc(C(N)=O)c(Nc2ccccc2)n1,5.0,60.0,8.301029995663981,7.221848749616356,-1.079181246047625,c1ccc(Nc2ccn(C3CCCCC3)n2)cc1
4987,N#C[C@H]1CCCCC1n1cc(C(N)=O)c(Nc2ccc(-c3cn[nH]c3)nc2)n1,2.0,16.0,8.698970004336019,7.795880017344075,-0.9030899869919438,c1cc(-c2cn[nH]c2)ncc1Nc1ccn(C2CCCCC2)n1
4988,N#C[C@H]1CCCCC1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,3.0,22.0,8.522878745280337,7.657577319177793,-0.865301426102544,c1ccc(Nc2ccn(C3CCCCC3)n2)cc1
4989,N#C[C@H]1CCCCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,2.0,17.0,8.698970004336019,7.769551078621726,-0.9294189257142929,c1ccc(Nc2ccn(C3CCCCC3)n2)cc1
4990,N#C[C@H]1CCCCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)F)c(CO)c2)n1,2.0,14.0,8.698970004336019,7.853871964321762,-0.8450980400142569,c1ccc(Nc2ccn(C3CCCCC3)n2)cc1
4991,N#C[C@H]1CCCCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)F)cc2)n1,0.5,5.0,9.301029995663981,8.301029995663981,-1.0,c1ccc(Nc2ccn(C3CCCCC3)n2)cc1
4992,N#C[C@H]1CCCCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)CC(F)(F)F)cc2)n1,0.49,5.0,9.309803919971486,8.301029995663981,-1.008773924307505,c1ccc(Nc2ccn(C3CCCCC3)n2)cc1
4993,N#C[C@H]1CCCCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)CF)cc2)n1,0.16,2.0,9.795880017344075,8.698970004336019,-1.0969100130080562,c1ccc(Nc2ccn(C3CCCCC3)n2)cc1
4994,N#C[C@H]1CCCCC1n1cc(C(N)=O)c(Nc2ccc3c(c2)C(O)CS3(=O)=O)n1,0.28,2.0,9.55284196865778,8.698970004336019,-0.8538719643217618,O=S1(=O)CCc2cc(Nc3ccn(C4CCCCC4)n3)ccc21
4995,N#C[C@H]1CCCCC1n1cc(C(N)=O)c(Nc2ccc3c(c2)C=CS3(=O)=O)n1,0.45,11.0,9.346787486224656,7.958607314841775,-1.3881801713828814,O=S1(=O)C=Cc2cc(Nc3ccn(C4CCCCC4)n3)ccc21
4996,N#C[C@H]1CCCCC1n1cc(C(N)=O)c(Nc2ccc3c(c2)CCC(=O)N3)n1,2.0,8.0,8.698970004336019,8.096910013008056,-0.6020599913279625,O=C1CCc2cc(Nc3ccn(C4CCCCC4)n3)ccc2N1
4997,N#C[C@H]1CCCCC1n1cc(C(N)=O)c(Nc2ccc3c(c2)CCS3(=O)=O)n1,0.4,6.0,9.397940008672037,8.221848749616356,-1.1760912590556813,O=S1(=O)CCc2cc(Nc3ccn(C4CCCCC4)n3)ccc21
4998,N#C[C@H]1CCCCC1n1cc(C(N)=O)c(Nc2ccccc2)n1,4.0,30.0,8.397940008672037,7.522878745280337,-0.8750612633917001,c1ccc(Nc2ccn(C3CCCCC3)n2)cc1
4999,N#C[C@H]1CCCCC1n1nc(Nc2ccc(-c3ccno3)cc2)c2c(=O)[nH]ccc21,320.0,3200.0,6.494850021680094,5.494850021680094,-1.0,O=c1[nH]ccc2c1c(Nc1ccc(-c3ccno3)cc1)nn2C1CCCCC1
5000,N#C[C@H]1CCCCC1n1nc(Nc2ccc(-c3ccon3)cc2)c2c(=O)[nH]ccc21,180.0,1600.0,6.7447274948966935,5.795880017344075,-0.9488474775526186,O=c1[nH]ccc2c1c(Nc1ccc(-c3ccon3)cc1)nn2C1CCCCC1
