smiles,fold_selectivity,dataset,TSNE1,TSNE2
Cc1ccn2ncc(-c3nc(N[C@@H]4CCCN(C(=O)CO)C4)c(F)c(N4CCOCC4)n3)c2c1,6.75,JAK2-selective,1.1267054,32.786556
Cc1cnc(Nc2ccc(C(=O)NC3CCN(C)CC3)c(F)c2)nc1Nc1ccc2c(c1)N(S(=O)(=O)C(C)(C)C)CC2,42.083333333333336,JAK2-selective,-9.01937,3.679374
Cc1cncc2ccc(NC(=O)[C@@H]3CC3c3ccc(S(=O)(=O)NC[C@@H]4CCCNC4)cc3)cc12,7.6923076923076925,JAK2-selective,-1.5757109,-13.353021
Cc1cncc2ccc(NC(=O)[C@@H]3CC3c3ccc(S(=O)(=O)Nc4ccccn4)cc3)cc12,12.5,JAK2-selective,-2.5689619,-11.684292
Cc1cncc2ccc(NC(=O)[C@@H]3CC3c3ccc(S(=O)(=O)Nc4cccnc4)cc3)cc12,104.34782608695653,JAK2-selective,-2.4755757,-11.888368
Cc1cncc2ccc(NC(=O)[C@@H]3CC3c3ccc(S(=O)(=O)Nc4cccnn4)cc3)cc12,40.0,JAK2-selective,-2.3206275,-11.901934
Cc1cncc2ccc(NC(=O)[C@@H]3CC3c3ccc(S(=O)(=O)Nc4cnccn4)cc3)cc12,5.0,JAK2-selective,-2.1305647,-12.059826
Cc1cncc2ccc(NC(=O)[C@@H]3CC3c3ccc(S(=O)(=O)Nc4ncccn4)cc3)cc12,5.5,JAK2-selective,-2.5127566,-11.96623
Cc1cncc2ccc(NC(=O)[C@@H]3C[C@H]3c3ccc(S(=O)(=O)NC4CCCNC4)cc3)cc12,5.761904761904762,JAK2-selective,-1.4731131,-12.873455
Cc1cncc2ccc(NC(=O)[C@@H]3C[C@H]3c3ccc(S(=O)(=O)NC4CCNC4)cc3)cc12,6.0,JAK2-selective,-1.5638037,-12.765224
Cc1cncc2ccc(NC(=O)[C@@H]3C[C@H]3c3ccc(S(=O)(=O)Nc4cncc(C5=CCNCC5)n4)cc3)cc12,6.296296296296296,JAK2-selective,-1.7916096,-12.487497
Cc1cncc2ccc(NC(=O)[C@@H]3C[C@H]3c3ccc(S(=O)(=O)Nc4cncc(C5CCNCC5)n4)cc3)cc12,15.714285714285714,JAK2-selective,-1.7315063,-12.682967
Cc1cncc2ccc(NC(=O)[C@@H]3C[C@H]3c3ccc(S(=O)(=O)Nc4ncc(C5CCNCC5)cn4)cc3)cc12,5.0,JAK2-selective,-1.8159496,-12.82821
Cc1nc(-c2cc(-c3cnn(C4(CC#N)CC(C#N)C4)n3)c3cccnc3c2)c[nH]1,11.043392272310776,JAK2-selective,4.413437,46.0903
Cc1nc(-c2cc(-c3cnn(C4(CC#N)CC(C#N)C4)n3)c3cccnc3c2)ccc1CCO,7.069496381047577,JAK2-selective,4.4772005,45.651817
Cc1nc(-c2cc3ncccc3c(-c3ccn(C4(CC#N)CN(CC(F)(F)F)C4)n3)n2)cn1C,6.016847172081829,JAK2-selective,-3.555303,85.0806
Cc1nc2ccc(-c3cc(-c4cnn(C5(CC#N)CC(C#N)C5)n4)c4cccnc4c3)nc2[nH]1,8.878048780487806,JAK2-selective,4.406935,45.983284
Cc1ncc(-c2cc(-c3cnn(C4(CC#N)CC(C#N)C4)c3)n3ccnc3c2)[nH]1,6.9825378346915015,JAK2-selective,-15.84164,82.61155
Cc1ncc(-c2cc3ncccc3c(-c3ccn(C4(CC#N)CN(S(C)(=O)=O)C4)n3)n2)cc1N,5.757855822550832,JAK2-selective,-3.7338345,64.84846
Cc1ncc(-c2cc3ncccc3c(-c3ccn(C4(CC#N)CN(S(C)(=O)=O)C4)n3)n2)cc1O,7.710100231303007,JAK2-selective,-4.363207,65.194954
Cc1nccc2cc(NC(=O)[C@@H]3CC3c3ccc(S(=O)(=O)Nc4ccccn4)cc3)ccc12,46.13791666666666,JAK2-selective,-3.1967187,-11.366371
